question,type,value,notes
11,dict,"{'Adams County': 7,
 'Ashland County': 7,
 'Barron County': 10,
 'Bayfield County': 5,
 'Brown County': 54,
 'Buffalo County': 5,
 'Burnett County': 6,
 'Calumet County': 11,
 'Chippewa County': 11,
 'Clark County': 8,
 'Columbia County': 12,
 'Crawford County': 6,
 'Dane County': 105,
 'Dodge County': 20,
 'Door County': 9,
 'Douglas County': 12,
 'Dunn County': 8,
 'Eau Claire County': 20,
 'Florence County': 2,
 'Fond du Lac County': 20,
 'Forest County': 4,
 'Grant County': 12,
 'Green County': 8,
 'Green Lake County': 6,
 'Iowa County': 6,
 'Iron County': 3,
 'Jackson County': 5,
 'Jefferson County': 20,
 'Juneau County': 7,
 'Kenosha County': 35,
 'Kewaunee County': 4,
 'La Crosse County': 25,
 'Lafayette County': 5,
 'Langlade County': 6,
 'Lincoln County': 10,
 'Manitowoc County': 19,
 'Marathon County': 27,
 'Marinette County': 12,
 'Marquette County': 5,
 'Menominee County': 2,
 'Milwaukee County': 296,
 'Monroe County': 9,
 'Oconto County': 10,
 'Oneida County': 14,
 'Outagamie County': 40,
 'Ozaukee County': 18,
 'Pepin County': 2,
 'Pierce County': 8,
 'Polk County': 10,
 'Portage County': 14,
 'Price County': 6,
 'Racine County': 44,
 'Richland County': 5,
 'Rock County': 38,
 'Rusk County': 5,
 'Sauk County': 13,
 'Sawyer County': 6,
 'Shawano County': 11,
 'Sheboygan County': 26,
 'St. Croix County': 14,
 'Taylor County': 6,
 'Trempealeau County': 8,
 'Vernon County': 7,
 'Vilas County': 5,
 'Walworth County': 22,
 'Washburn County': 5,
 'Washington County': 28,
 'Waukesha County': 86,
 'Waupaca County': 12,
 'Waushara County': 7,
 'Winnebago County': 41,
 'Wood County': 17}",
12,dict,"{'Menominee County': 4232,
 'Florence County': 4423,
 'Iron County': 5916,
 'Pepin County': 7469}",
13,int,190,
14,set,"{'Iron County', 'Menominee County', 'Rusk County', 'Vilas County'}",
15,dict,"{'Brown County': 1519,
 'Dane County': 1511,
 'Kenosha County': 1012,
 'Milwaukee County': 7466,
 'Racine County': 1447,
 'Waukesha County': 2175}",
16,Figure,plt.Figure(),
17,Figure,plt.Figure(),
18,Figure,plt.Figure(),
19,Figure,plt.Figure(),
20,Figure,plt.Figure(),
